frame,FB,LR,height,spread,cy_speed,cx,cy,cz
0,-1.0,4.63480742673994e-09,0.0,0.9999999999999999,0.0,4.63480742673994e-09,-1.0,0.0
1,-1.0,2.2477893435457474e-09,0.0,1.0,0.0,2.2477893435457474e-09,-1.0,0.0
2,-1.0,1.8909995236349175e-09,0.0,1.0,0.0,1.8909995236349175e-09,-1.0,0.0
3,-1.0,-6.598148694081374e-10,0.0,0.9999999999999999,0.0,-6.598148694081374e-10,-1.0,0.0
4,-1.0,-2.4465879822077596e-08,0.0,0.9999999999999997,0.0,-2.4465879822077596e-08,-1.0,0.0
5,-1.0,-4.5177037777399676e-08,0.0,0.9999999999999989,0.0,-4.5177037777399676e-08,-1.0,0.0
6,-1.0,-4.760397315228815e-08,0.0,0.9999999999999988,0.0,-4.760397315228815e-08,-1.0,0.0
7,-1.0,-3.322207225986418e-08,0.0,0.9999999999999994,0.0,-3.322207225986418e-08,-1.0,0.0
8,-1.0,-2.816090050039577e-08,0.0,0.9999999999999997,0.0,-2.816090050039577e-08,-1.0,0.0
9,-1.0,-3.8136279356670855e-08,0.0,0.9999999999999993,0.0,-3.8136279356670855e-08,-1.0,0.0
10,-1.0,-4.8227071225426243e-08,0.0,0.9999999999999988,0.0,-4.8227071225426243e-08,-1.0,0.0
11,-1.0,-4.198178688019638e-08,0.0,0.9999999999999991,0.0,-4.198178688019638e-08,-1.0,0.0
12,-1.0,-4.5150653549264064e-08,0.0,0.9999999999999989,0.0,-4.5150653549264064e-08,-1.0,0.0
13,-1.0,-4.6860391178515926e-08,0.0,0.9999999999999989,0.0,-4.6860391178515926e-08,-1.0,0.0
14,-1.0,-5.2553341067795856e-08,0.0,0.9999999999999986,0.0,-5.2553341067795856e-08,-1.0,0.0
15,-1.0,-5.773869726777292e-08,0.0,0.9999999999999983,0.0,-5.773869726777292e-08,-1.0,0.0
16,-1.0,-6.419430470527843e-08,0.0,0.9999999999999979,0.0,-6.419430470527843e-08,-1.0,0.0
17,-1.0,-7.306765292813822e-08,0.0,0.9999999999999973,0.0,-7.306765292813822e-08,-1.0,0.0
18,-1.0,-6.996396550995598e-08,0.0,0.9999999999999976,0.0,-6.996396550995598e-08,-1.0,0.0
19,-1.0,-6.530401369664318e-08,0.0,0.9999999999999978,5.551115123125783e-15,-6.530401369664318e-08,-1.0,0.0
20,-0.9999999999999999,-6.57867407216628e-08,0.0,0.9999999999999978,0.0,-6.57867407216628e-08,-0.9999999999999999,0.0
21,-1.0,-7.157191689310949e-08,0.0,0.9999999999999974,-5.551115123125783e-15,-7.157191689310949e-08,-1.0,0.0
22,-1.0,-7.117038053339186e-08,0.0,0.9999999999999974,0.0,-7.117038053339186e-08,-1.0,0.0
23,-1.0,-7.784957178902374e-08,0.0,0.9999999999999969,0.0,-7.784957178902374e-08,-1.0,0.0
24,-1.0,-7.771451898674897e-08,0.0,0.9999999999999969,0.0,-7.771451898674897e-08,-1.0,0.0
25,-1.0,-7.059383394514285e-08,0.0,0.9999999999999974,0.0,-7.059383394514285e-08,-1.0,0.0
26,-1.0,-6.13334788512887e-08,0.0,0.9999999999999981,0.0,-6.13334788512887e-08,-1.0,0.0
27,-1.0,-5.297451538543996e-08,0.0,0.9999999999999986,0.0,-5.297451538543996e-08,-1.0,0.0
28,-1.0,-4.810049836212471e-08,0.0,0.9999999999999988,0.0,-4.810049836212471e-08,-1.0,0.0
29,-1.0,-4.3025945528629705e-08,0.0,0.999999999999999,0.0,-4.3025945528629705e-08,-1.0,0.0
30,-1.0,-2.8661169215737914e-08,0.0,0.9999999999999996,0.0,-2.8661169215737914e-08,-1.0,0.0
31,-1.0,-1.7241669147960437e-08,0.0,0.9999999999999998,0.0,-1.7241669147960437e-08,-1.0,0.0
32,-1.0,-1.0241598902283044e-08,0.0,1.0,0.0,-1.0241598902283044e-08,-1.0,0.0
33,-1.0,-1.5713040313336535e-09,0.0,0.9999999999999999,0.0,-1.5713040313336535e-09,-1.0,0.0
34,-1.0,-3.954420346730103e-09,0.0,1.0,0.0,-3.954420346730103e-09,-1.0,0.0
35,-1.0,-3.3213495287398587e-09,0.0,0.9999999999999999,0.0,-3.3213495287398587e-09,-1.0,0.0
36,-1.0,1.6350447107349453e-09,0.0,1.0,0.0,1.6350447107349453e-09,-1.0,0.0
37,-1.0,-1.0185630117121036e-10,0.0,1.0,0.0,-1.0185630117121036e-10,-1.0,0.0
38,-1.0,-1.982687514168191e-09,0.0,1.0,0.0,-1.982687514168191e-09,-1.0,0.0
39,-1.0,-2.7502329302819817e-09,0.0,1.0,1.1102230246251565e-14,-2.7502329302819817e-09,-1.0,0.0
40,-0.9999999999999998,-4.2733055982679957e-10,0.0,1.0,1.1102230246251565e-14,-4.2733055982679957e-10,-0.9999999999999998,0.0
41,-0.9999999999999998,1.8519639710667946e-09,0.0,1.0,-1.1102230246251565e-14,1.8519639710667946e-09,-0.9999999999999998,0.0
42,-1.0,2.0551252921663377e-09,0.0,1.0,-1.1102230246251565e-14,2.0551252921663377e-09,-1.0,0.0
43,-1.0,6.718567924224317e-10,0.0,1.0,0.0,6.718567924224317e-10,-1.0,0.0
44,-1.0,-2.4177310153916665e-09,0.0,1.0,0.0,-2.4177310153916665e-09,-1.0,0.0
45,-1.0,-8.990564404065537e-10,0.0,1.0,0.0,-8.990564404065537e-10,-1.0,0.0
46,-1.0,2.408700849887424e-09,0.0,1.0,0.0,2.408700849887424e-09,-1.0,0.0
47,-1.0,9.315621607441926e-10,0.0,1.0,0.0,9.315621607441926e-10,-1.0,0.0
48,-1.0,-2.2836836865991472e-09,0.0,1.0,0.0,-2.2836836865991472e-09,-1.0,0.0
49,-1.0,5.213296960793201e-09,0.0,0.9999999999999999,0.0,5.213296960793201e-09,-1.0,0.0
50,-1.0,9.118726607137972e-09,0.0,0.9999999999999999,0.0,9.118726607137972e-09,-1.0,0.0
51,-1.0,4.314475443578658e-09,0.0,1.0,0.0,4.314475443578658e-09,-1.0,0.0
52,-1.0,4.0506786813665485e-10,0.0,1.0,0.0,4.0506786813665485e-10,-1.0,0.0
53,-1.0,1.208167177413344e-09,0.0,1.0,0.0,1.208167177413344e-09,-1.0,0.0
54,-1.0,5.547979131659275e-09,0.0,0.9999999999999999,0.0,5.547979131659275e-09,-1.0,0.0
55,-1.0,2.129236842396409e-09,0.0,1.0,0.0,2.129236842396409e-09,-1.0,0.0
56,-1.0,-2.3226465195591572e-10,0.0,1.0,5.551115123125783e-15,-2.3226465195591572e-10,-1.0,0.0
57,-0.9999999999999999,-7.498959231355684e-10,0.0,0.9999999999999999,0.0,-7.498959231355684e-10,-0.9999999999999999,0.0
58,-1.0,-2.6961376464740283e-09,0.0,1.0,-5.551115123125783e-15,-2.6961376464740283e-09,-1.0,0.0
59,-1.0,1.573569163859645e-09,0.0,1.0,0.0,1.573569163859645e-09,-1.0,0.0
60,-1.0,6.007047637091034e-10,0.0,0.9999999999999999,5.551115123125783e-15,6.007047637091034e-10,-1.0,0.0
61,-0.9999999999999999,-8.63038973619723e-10,0.0,0.9999999999999999,1.1102230246251565e-14,-8.63038973619723e-10,-0.9999999999999999,0.0
