time_s,cx,cy,cz,theta,FB,FB_group,LR,height,spread,x_lr,y_fb,z_height,cy_smooth,cy_speed,zone
0.0,0.0,-0.866022275510993,8.914890085694492e-09,-1.5707963267948966,-0.866022275510993,-0.9999963867713688,0.0,1.7829780171388988e-08,0.5000054182894037,0.0,-0.866022275510993,8.914890085694492e-09,-0.5195351091994944,-17.241258021186024,rear_center_mid
0.01,0.0,-0.8659921059585227,8.917036608608619e-09,-1.5707963267948966,-0.8659921059585227,-0.9999615499726455,0.0,1.783407321721724e-08,0.5000576690917988,0.0,-0.8659921059585227,8.917036608608619e-09,-0.6919476894113546,-17.18386310521766,rear_center_mid
0.02,0.0,-0.8656611645279558,8.92075884908801e-09,-1.5707963267948966,-0.8656611645279558,-0.9995794117241764,0.0,1.7841517698176022e-08,0.5006303508858639,0.0,-0.8656611645279558,8.92075884908801e-09,-0.8632123713038476,-8.433582757754959,rear_center_mid
0.03,0.0,-0.8620629010593014,8.889876424894691e-09,-1.5707963267948966,-0.8620629010593014,-0.9954244949631881,0.0,1.7779752849789386e-08,0.5068012969766565,0.0,-0.8620629010593014,8.889876424894691e-09,-0.8606193445664538,0.268289062411603,rear_center_mid
0.04,0.0,-0.8563234094624658,8.836503636198713e-09,-1.5707963267948966,-0.8563234094624658,-0.9887971009323433,0.0,1.767300727239743e-08,0.5164399465635651,0.0,-0.8563234094624658,8.836503636198713e-09,-0.8578465900556156,0.2839097545531466,rear_center_mid
0.05,0.0,-0.8530571418240234,8.807352704777442e-09,-1.5707963267948966,-0.8530571418240234,-0.9850255399350445,0.0,1.7614705409554887e-08,0.5218175090805481,0.0,-0.8530571418240234,8.807352704777442e-09,-0.8549411494753909,0.2652114872175648,rear_center_mid
0.06,0.0,-0.8521283334043318,8.80013829196898e-09,-1.5707963267948966,-0.8521283334043318,-0.9839530443535924,0.0,1.7600276583937963e-08,0.5233328801150905,0.0,-0.8521283334043318,8.80013829196898e-09,-0.8525423603112643,0.19389413208818485,rear_center_mid
0.07,0.0,-0.8511339616268321,8.789548612686123e-09,-1.5707963267948966,-0.8511339616268321,-0.9828048427279636,0.0,1.757909722537225e-08,0.5249485492554621,0.0,-0.8511339616268321,8.789548612686123e-09,-0.8510632668336272,0.1274717173433304,rear_center_mid
0.08,0.0,-0.8500689552386682,8.775950429776994e-09,-1.5707963267948966,-0.8500689552386682,-0.9815750792797134,0.0,1.7551900859553992e-08,0.5266714073684265,0.0,-0.8500689552386682,8.775950429776994e-09,-0.8499929259643977,0.11084133214617764,rear_center_mid
0.09,0.0,-0.8489279420742801,8.76013831025646e-09,-1.5707963267948966,-0.8489279420742801,-0.9802575507662873,0.0,1.7520276620512924e-08,0.5285086084119425,0.0,-0.8489279420742801,8.76013831025646e-09,-0.8488464401907037,0.11872658077677345,rear_center_mid
0.1,0.0,-0.8477054374778756,8.74317215789509e-09,-1.5707963267948966,-0.8477054374778756,-0.9788459240525693,0.0,1.7486344315790184e-08,0.530467238640091,0.0,-0.8477054374778756,8.74317215789509e-09,-0.8476183943488622,0.1271581604528782,rear_center_mid
0.11,0.0,-0.8463959045358613,8.726160794072288e-09,-1.5707963267948966,-0.8463959045358613,-0.9773338056613267,0.0,1.745232158814458e-08,0.5325541970400018,0.0,-0.8463959045358613,8.726160794072288e-09,-0.8463032769816461,0.13614344026183223,rear_center_mid
0.12,0.0,-0.8449937324176257,8.710042081567063e-09,-1.5707963267948966,-0.8449937324176257,-0.9757147167633248,0.0,1.742008416313413e-08,0.5347762075625001,0.0,-0.8449937324176257,8.710042081567063e-09,-0.8448955255436256,0.1456876350464098,rear_center_mid
0.13,0.0,-0.8434933684025883,8.695398848898756e-09,-1.5707963267948966,-0.8434933684025883,-0.9739822456290549,0.0,1.7390797697797516e-08,0.53713958843196,0.0,-0.8434933684025883,8.695398848898756e-09,-0.8433895242807179,0.15579897782899144,rear_center_mid
0.14,0.0,-0.8418891848841769,8.682341318576006e-09,-1.5707963267948966,-0.8418891848841769,-0.9721298940581649,0.0,1.7364682637152015e-08,0.5396504427636989,0.0,-0.8418891848841769,8.682341318576006e-09,-0.8417795459870457,0.16649298124442047,rear_center_mid
0.15,0.0,-0.8401754311633376,8.670477499372083e-09,-1.5707963267948966,-0.8401754311633376,-0.9701510217154058,0.0,1.734095499874417e-08,0.5423147101725159,0.0,-0.8401754311633376,8.670477499372083e-09,-0.8400596646558295,0.17779805113185,rear_center_mid
0.16,0.0,-0.8383460130675002,8.658973461138714e-09,-1.5707963267948966,-0.8383460130675002,-0.9680385916565242,0.0,1.731794692227743e-08,0.5451384799973551,0.0,-0.8383460130675002,8.658973461138714e-09,-0.8382235849644087,0.18975945198624333,rear_center_mid
0.17,0.0,-0.8363943257615444,8.646694996526018e-09,-1.5707963267948966,-0.8363943257615444,-0.9657849772749798,0.0,1.729338999305204e-08,0.5481282074787718,0.0,-0.8363943257615444,8.646694996526018e-09,-0.8362644756161046,0.20243878491582046,rear_center_mid
