time_s,cx,cy,cz,theta,bed_FB,FB_group,bed_LR,bed_height,bed_spread,x_lr,y_fb,z_height,cy_smooth,cy_speed,zone,obj_cx,obj_cy,obj_cz,obj_spread
0.0,0.0,-0.866022275510993,8.914890085694492e-09,-1.5707963267948966,-0.8661848508274951,-0.9999963867713688,0.0,1.7831918323862112e-08,0.4997049604847623,0.0,-0.866022275510993,8.914890085694492e-09,-0.5195351091994944,-17.241258021186024,rear_center_mid,0.0,-1.0000001813837542,0.0,0.0
0.01,0.0,-0.8659921059585227,8.917036608608619e-09,-1.5707963267948966,-0.8663588472611605,-0.9999615499726456,0.0,1.7844140413681047e-08,0.49947436999492906,0.0,-0.8659921059585227,8.917036608608619e-09,-0.6919476894113546,-17.18386310521766,rear_center_mid,0.0,-0.9980001457229982,0.0,0.0
0.02,0.0,-0.8656611645279558,8.920758849088011e-09,-1.5707963267948966,-0.8645439646531087,-0.9995794117241764,0.0,1.7817978067741983e-08,0.5025626277416301,0.0,-0.8656611645279558,8.920758849088011e-09,-0.8632123713038476,-8.433582757754959,rear_center_mid,0.0,-0.9960001383032929,0.0,0.0
0.03,0.0,-0.8620629010593014,8.889876424894691e-09,-1.5707963267948966,-0.8614353502974503,-0.995424494963188,0.0,1.7766138776067302e-08,0.5078021018917627,0.0,-0.8620629010593014,8.889876424894691e-09,-0.8606193445664538,0.268289062411603,rear_center_mid,0.0,-0.9940001557801568,0.0,0.0
0.04,0.0,-0.8563234094624658,8.836503636198713e-09,-1.5707963267948966,-0.8577281514882947,-0.9887971009323432,0.0,1.770133002867935e-08,0.5140251606122238,0.0,-0.8563234094624658,8.836503636198713e-09,-0.8578465900556156,0.2839097545531466,rear_center_mid,0.0,-0.9920001948091075,0.0,0.0
0.05,0.0,-0.8530571418240234,8.807352704777442e-09,-1.5707963267948966,-0.8545815748711139,-0.9850255399350444,0.0,1.7645396595467686e-08,0.5192880626295832,0.0,-0.8530571418240234,8.807352704777442e-09,-0.8549411494753909,0.2652114872175648,rear_center_mid,0.0,-0.9900002464316499,0.0,0.0
0.06,0.0,-0.8521283334043318,8.80013829196898e-09,-1.5707963267948966,-0.8520535352480235,-0.9839530443535924,0.0,1.7597265749677264e-08,0.5234832864747955,0.0,-0.8521283334043318,8.80013829196898e-09,-0.8525423603112643,0.1938941320881848,rear_center_mid,0.0,-0.9880003487183276,0.0,0.0
0.07,0.0,-0.8511339616268321,8.789548612686123e-09,-1.5707963267948966,-0.8506136127030522,-0.9828048427279636,0.0,1.756712543920425e-08,0.5258231590081841,0.0,-0.8511339616268321,8.789548612686123e-09,-0.8510632668336272,0.1274717173433304,rear_center_mid,0.0,-0.9860003318267729,0.0,0.0
0.08,0.0,-0.8500689552386682,8.775950429776994e-09,-1.5707963267948966,-0.84985112940651,-0.9815750792797134,0.0,1.754671000563856e-08,0.5270310338929406,0.0,-0.8500689552386682,8.775950429776994e-09,-0.8499929259643977,0.1108413321461776,rear_center_mid,0.0,-0.9840004221087789,0.0,0.0
0.09,0.0,-0.8489279420742801,8.76013831025646e-09,-1.5707963267948966,-0.8489280466500834,-0.9802575507662872,0.0,1.7520157484894408e-08,0.5285087881645503,0.0,-0.8489279420742801,8.76013831025646e-09,-0.8488464401907037,0.1187265807767734,rear_center_mid,0.0,-0.9820004993881207,0.0,0.0
