time_s,x_lr,y_fb,z_height,gain_db,spread,width,height,depth,velocity_x,velocity_y,velocity_z,speed,accel,object_id,object_name,track_index
0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AO_100b,Object 11,
0.01,0.0,-0.9980007027179006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1999297282099355,0.0,0.1999297282099355,19.992972820993547,AO_100b,Object 11,
0.02,0.0,-0.9959996554942777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20010472236229315,0.0,0.20010472236229315,0.01749941523576659,AO_100b,Object 11,
0.03,0.0,-0.9940000118994377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19996435948400615,0.0,0.19996435948400615,-0.014036287828700367,AO_100b,Object 11,
0.04,0.0,-0.992000692199344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19993197000937046,0.0,0.19993197000937046,-0.0032389474635685644,AO_100b,Object 11,
0.05,0.0,-0.9900000201409006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20006720584433424,0.0,0.20006720584433424,0.013523583496377611,AO_100b,Object 11,
0.06,0.0,-0.9880000983128397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19999218280608577,0.0,0.19999218280608577,-0.007502303824846734,AO_100b,Object 11,
0.07,0.0,-0.9860007339454545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19993643673852368,0.0,0.19993643673852368,-0.005574606756209022,AO_100b,Object 11,
0.08,0.0,-0.9840003848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20003491454545497,0.0,0.20003491454545497,0.009847780693128527,AO_100b,Object 11,
0.09,0.0,-0.9820000878692596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20002969307403307,0.0,0.20002969307403307,-0.0005221471421901214,AO_100b,Object 11,
0.1,0.0,-0.9800007905496719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19992973195877006,0.0,0.19992973195877006,-0.00999611152630031,AO_100b,Object 11,
0.11,0.0,-0.9780008314230769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19999591265950079,0.0,0.19999591265950079,0.006618070073072246,AO_100b,Object 11,
0.12,0.0,-0.9760000774006561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20007540224208364,0.0,0.20007540224208364,0.007948958258285899,AO_100b,Object 11,
0.13,0.0,-0.9740007800435801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19992973570759354,0.0,0.19992973570759354,-0.014566653449010758,AO_100b,Object 11,
0.14,0.0,-0.9720012333181989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19995467253812738,0.0,0.19995467253812738,0.0024936830533839327,AO_100b,Object 11,
0.15,0.0,-0.9700001786909092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20010546272897223,0.0,0.20010546272897223,0.015079019084485168,AO_100b,Object 11,
0.16,0.0,-0.9680007696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1999409090909121,0.0,0.1999409090909121,-0.016455363806011647,AO_100b,Object 11,
0.17,0.0,-0.9660014723179007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1999297282099355,0.0,0.1999297282099355,-0.0011180880976624508,AO_100b,Object 11,
0.18,0.0,-0.9640004250942777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20010472236229315,0.0,0.20010472236229315,0.01749941523576659,AO_100b,Object 11,
0.19,0.0,-0.9620008783564199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1999546737857849,0.0,0.1999546737857849,-0.015004857650824377,AO_100b,Object 11,
0.2,0.0,-0.9600014917022492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1999386654170654,0.0,0.1999386654170654,-0.0016008368719511168,AO_100b,Object 11,
0.21,0.0,-0.9580007897721388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20007019301104823,0.0,0.20007019301104823,0.013152759398282754,AO_100b,Object 11,
0.22,0.0,-0.9560008679128397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1999921859299092,0.0,0.1999921859299092,-0.007800708113903099,AO_100b,Object 11,
0.23,0.0,-0.9540015706307403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1999297282099355,0.0,0.1999297282099355,-0.006245771997370753,AO_100b,Object 11,
0.24,0.0,-0.9520012140499999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20003565807403811,0.0,0.20003565807403811,0.010592986410262739,AO_100b,Object 11,
0.25,0.0,-0.9500008574692596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20003565807403811,0.0,0.20003565807403811,0.0,AO_100b,Object 11,
0.26,0.0,-0.948001560149672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19992973195875896,0.0,0.19992973195875896,-0.010592611527915352,AO_100b,Object 11,
0.27,0.0,-0.9460016382590994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19999218905725202,0.0,0.19999218905725202,0.00624570984930628,AO_100b,Object 11,
0.28,0.0,-0.9440009363727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2000701886372136,0.0,0.2000701886372136,0.007799957996157403,AO_100b,Object 11,
0.29,0.0,-0.9420015496435802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19993867291471235,0.0,0.19993867291471235,-0.013151572250125199,AO_100b,Object 11,
0.3,0.0,-0.9400020029181989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19995467253812738,0.0,0.19995467253812738,0.0015999623415030584,AO_100b,Object 11,
0.31,0.0,-0.9380009557758201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2001047142378809,0.0,0.2001047142378809,0.015004169975352255,AO_100b,Object 11,
0.32,0.0,-0.9360016584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19992973758200527,0.0,0.19992973758200527,-0.017497665587562494,AO_100b,Object 11,
0.33,0.0,-0.9340022494028116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19994089971884232,0.0,0.19994089971884232,0.0011162136837050696,AO_100b,Object 11,
0.34,0.0,-0.9320011947818011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2001054621010523,0.0,0.2001054621010523,0.01645623822099651,AO_100b,Object 11,
0.35000000000000003,0.0,-0.9300016479751639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19995468066371647,0.0,0.19995468066371647,-0.015078143733582294,AO_100b,Object 11,
0.36,0.0,-0.9280023506743205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19992973008434722,0.0,0.19992973008434722,-0.002495057936924283,AO_100b,Object 11,
0.37,0.0,-0.9260015966081614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20007540661590717,0.0,0.20007540661590717,0.01456765315599462,AO_100b,Object 11,
0.38,0.0,-0.9240016375128397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19999590953216906,0.0,0.19999590953216906,-0.007949708373811148,AO_100b,Object 11,
0.39,0.0,-0.9220023402307405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19992972820992438,0.0,0.19992972820992438,-0.006618132224467388,AO_100b,Object 11,
0.4,0.0,-0.92000204325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20002969807404458,0.0,0.20002969807404458,0.009996986412019737,AO_100b,Object 11,
0.41000000000000003,0.0,-0.918001694098313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20003491516870087,0.0,0.20003491516870087,0.0005217094656284615,AO_100b,Object 11,
0.42,0.0,-0.916002329749672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19993643486410084,0.0,0.19993643486410084,-0.009848030460002377,AO_100b,Object 11,
0.43,0.0,-0.9140024078590995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19999218905725202,0.0,0.19999218905725202,0.005575419315118069,AO_100b,Object 11,
0.44,0.0,-0.9120017358256796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20006720334199146,0.0,0.20006720334199146,0.007501428473943861,AO_100b,Object 11,
0.45,0.0,-0.9100024161818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19993196438613525,0.0,0.19993196438613525,-0.013523895585620949,AO_100b,Object 11,
0.46,0.0,-0.9080027725181988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1999643663619377,0.0,0.1999643663619377,0.0032401975802454075,AO_100b,Object 11,
0.47000000000000003,0.0,-0.9060017253820993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20010471360994986,0.0,0.20010471360994986,0.014034724801215148,AO_100b,Object 11,
0.48,0.0,-0.9040024281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1999297282099355,0.0,0.1999297282099355,-0.017498540001437135,AO_100b,Object 11,
0.49,0.0,-0.9020031307241799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19992973758200527,0.0,0.19992973758200527,9.372069786905968e-07,AO_100b,Object 11,
0.5,0.0,-0.9000019792538462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20011514703337507,0.0,0.20011514703337507,0.018540945136980014,AO_100b,Object 11,
0.51,0.0,-0.898002417575164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19995616786822046,0.0,0.19995616786822046,-0.015897916515461574,AO_100b,Object 11,
0.52,0.0,-0.8960031202743205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19992973008434722,0.0,0.19992973008434722,-0.0026437783873234366,AO_100b,Object 11,
0.53,0.0,-0.8940024482409006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20006720334199146,0.0,0.20006720334199146,0.013747325764423834,AO_100b,Object 11,
0.54,0.0,-0.8920024518363636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19999964045369634,0.0,0.19999964045369634,-0.006756288829512513,AO_100b,Object 11,
0.55,0.0,-0.8900031098307404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19993420056232392,0.0,0.19993420056232392,-0.006543989137242079,AO_100b,Object 11,
0.56,0.0,-0.88800281285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20002969807403348,0.0,0.20002969807403348,0.009549751170956355,AO_100b,Object 11,
0.5700000000000001,0.0,-0.8860025158692596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20002969807404458,0.0,0.20002969807404458,1.1102230246251565e-12,AO_100b,Object 11,
0.58,0.0,-0.8840031739011247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19993419681348934,0.0,0.19993419681348934,-0.009550126055524188,AO_100b,Object 11,
0.59,0.0,-0.8820031775278612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1999996373263535,0.0,0.1999996373263535,0.006544051286416774,AO_100b,Object 11,
0.6,0.0,-0.8800025054256795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20006721021816887,0.0,0.20006721021816887,0.006757289181535953,AO_100b,Object 11,
0.61,0.0,-0.8780032081435801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1999297282099355,0.0,0.1999297282099355,-0.013748200823338053,AO_100b,Object 11,
0.62,0.0,-0.8760036465336772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1999561609902889,0.0,0.1999561609902889,0.0026432780353413676,AO_100b,Object 11,
0.63,0.0,-0.8740024949820994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20011515515778733,0.0,0.20011515515778733,0.015899416749842743,AO_100b,Object 11,
0.64,0.0,-0.8720031977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1999297282099355,0.0,0.1999297282099355,-0.01854269478518411,AO_100b,Object 11,
0.65,0.0,-0.87000390032418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19992973758200527,0.0,0.19992973758200527,9.372069786905968e-07,AO_100b,Object 11,
0.66,0.0,-0.8680028531818011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2001047142378809,0.0,0.2001047142378809,0.017497665587562494,AO_100b,Object 11,
0.67,0.0,-0.8660032095994377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19996435823634862,0.0,0.19996435823634862,-0.014035600153228245,AO_100b,Object 11,
0.68,0.0,-0.864003889899344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19993197000937046,0.0,0.19993197000937046,-0.00323882269781528,AO_100b,Object 11,
